class,courseId,section,courseName,time,location,instructors,dates,campus
83975,ACG2021,"U01-C
Regular",Accounting for Decisions,Mo 5:00PM - 7:40PM,Mgmt and New Growth Opp 221,Lazaro Alfaro Jr,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
83809,ACG2021,"U02-C
Regular",Accounting for Decisions,Mo 8:00AM - 10:45AM,Ryder Business 120,Alexander Sueiro,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
83797,ACG2021,"U04-C
Regular",Accounting for Decisions,We 12:00PM - 2:45PM,College of Business Complex154,Vanessa Vandamas,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
84406,ACG2021,"U05-C
Regular",Accounting for Decisions,Tu 2:00PM - 4:45PM,Charles E. Perry (PC) 310,TBA OCM,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
83976,ACG2021,"U06-C
Regular",Accounting for Decisions,Tu 11:00AM - 1:45PM,Mgmt and New Growth Opp 222,Pablo Simon,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
84448,ACG2021,"U07-C
Regular",Accounting for Decisions,We 7:50PM - 10:30PM,Green Library 165,Marvin Williams,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
83725,ACG3301,"U01-C
Regular",Managerial Accounting,We 12:00PM - 2:45PM,Paul Cejas Architecture 150,Pablo Simon,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
83977,ACG3301,"U02-C
Regular",Managerial Accounting,Th 10:00AM - 12:45PM,Ryder Business 130,Raphael Gyabeng,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
83794,ACG3301,"U03-C
Regular",Managerial Accounting,Mo 11:00AM - 1:45PM,Mgmt and New Growth Opp 221,Pablo Simon,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
83800,ACG3301,"U04-C
Regular",Managerial Accounting,Th 5:00PM - 7:40PM,Green Library 100A,TBA OCM,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
83812,ACG3301,"U05-C
Regular",Managerial Accounting,Tu 5:00PM - 7:40PM,Academic Health Center 4 -101,Pablo Simon,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
83758,ACG4101,"U01-C
Regular",Financial Accounting I,Mo 11:00AM - 1:45PM,College of Business Complex154,Stanislav Jansta,08/25/2025 - 12/06/2025,Modesto A. Maidique Campus
